Num_Data,Electrode_ID,Material,M_Density,E_pH,E_Ionic_Conductivity,E_Bare_Cation_Radius,E_Bare_Anion_Radius,E_Cation_Radius,E_Anion_Radius,Is_Binder,Binder_Type,Current_Collector,CC_Electrical_Conductivity,CC_Thermal_Conductivity,CC_Work_Function,Potential_Window,Morphology_Encoded,Synthesis_Method,Current_Density,Specific_Capacitance
1,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,0.5,375.0
2,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,1.0,175.0
3,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,1.5,100.0
4,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,2.0,70.0
5,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,1.0,347.0
6,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,2.0,334.0
7,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,3.0,320.0
8,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,12.0,215.0
9,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,0.5,488.0
10,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,1.0,455.0
11,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,2.0,434.0
12,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,5.0,396.0
13,12,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.04,1.0,1,1,1.0,235.0
14,12,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.04,1.0,1,1,1.5,224.0
15,12,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.04,1.0,1,1,2.0,211.0
16,12,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.04,1.0,1,1,3.0,198.0
17,13,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.003,1074.5
18,13,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.004,665.5
19,13,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.005,528.8
20,13,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.01,399.7
21,14,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.003,931.0
22,14,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.004,511.0
23,14,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.005,413.6
24,14,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.01,340.3
25,15,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.003,548.0
26,15,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.004,497.2
27,15,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.005,355.6
28,15,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.4,3,2,0.01,145.9
29,16,1,3.36,7,114.97,0.6,1.81,3.82,3.32,0,0,4,25.6,17.0,4.33,1.0,2,1,1.5,1520.0
30,16,1,3.36,7,114.97,0.6,1.81,3.82,3.32,0,0,4,25.6,17.0,4.33,1.0,2,1,3.0,1440.0
31,16,1,3.36,7,114.97,0.6,1.81,3.82,3.32,0,0,4,25.6,17.0,4.33,1.0,2,1,5.0,1340.0
32,16,1,3.36,7,114.97,0.6,1.81,3.82,3.32,0,0,4,25.6,17.0,4.33,1.0,2,1,8.0,1200.0
33,17,1,3.36,7,306.96,1.33,2.9,3.31,3.79,0,0,1,144.0,97.5,5.2,1.0,2,1,3.0,592.9
34,17,1,3.36,7,306.96,1.33,2.9,3.31,3.79,0,0,1,144.0,97.5,5.2,1.0,2,1,4.0,512.7
35,17,1,3.36,7,306.96,1.33,2.9,3.31,3.79,0,0,1,144.0,97.5,5.2,1.0,2,1,5.0,368.7
36,17,1,3.36,7,306.96,1.33,2.9,3.31,3.79,0,0,1,144.0,97.5,5.2,1.0,2,1,10.0,193.6
37,18,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.1,1,1,0.5,423.0
38,18,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.1,1,1,1.0,405.0
39,18,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.1,1,1,2.0,383.0
40,18,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.1,1,1,5.0,365.0
41,19,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,0.5,426.6
42,19,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,1.0,391.6
43,19,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,2.0,352.5
44,19,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,5.0,325.0
45,20,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.8,2,1,1.0,250.0
46,20,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.8,2,1,2.0,220.0
47,20,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.8,2,1,5.0,195.0
48,20,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.8,2,1,10.0,170.0
49,21,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.8,3,2,1.0,310.0
50,21,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.8,3,2,2.0,65.0
51,21,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.8,3,2,3.0,25.0
52,21,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.8,3,2,5.0,6.0
53,30,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,0.5,312.5
54,30,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,1.0,240.6
55,30,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,2.5,149.0
56,30,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,5.0,88.0
57,39,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.9,2,1,0.3,232.0
58,39,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.9,2,1,1.0,211.8
59,39,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.9,2,1,2.0,202.5
60,39,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.2,0.9,2,1,3.0,195.0
61,50,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,1.1,1,1,7.0,750.1
62,50,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,1.1,1,1,9.0,512.3
63,50,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,1.1,1,1,11.0,372.7
64,50,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,1.1,1,1,13.0,297.8
65,53,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,2,1.1,225.0,5.0,1.0,2,4,1.0,149.4
66,53,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,2,1.1,225.0,5.0,1.0,2,4,2.0,123.1
67,53,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,2,1.1,225.0,5.0,1.0,2,4,3.0,92.9
68,53,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,2,1.1,225.0,5.0,1.0,2,4,4.0,59.7
69,57,1,3.36,0,859.3,1.15,2.9,2.8,3.79,1,1,2,1.1,225.0,5.0,1.0,2,4,1.0,94.6
70,57,1,3.36,0,859.3,1.15,2.9,2.8,3.79,1,1,2,1.1,225.0,5.0,1.0,2,4,2.0,87.23
71,57,1,3.36,0,859.3,1.15,2.9,2.8,3.79,1,1,2,1.1,225.0,5.0,1.0,2,4,3.0,62.32
72,57,1,3.36,0,859.3,1.15,2.9,2.8,3.79,1,1,2,1.1,225.0,5.0,1.0,2,4,4.0,42.81
73,61,1,3.36,7,149.79,1.33,1.81,3.31,3.32,1,1,2,1.1,225.0,5.0,0.8,2,1,1.0,118.4
74,61,1,3.36,7,149.79,1.33,1.81,3.31,3.32,1,1,2,1.1,225.0,5.0,0.8,2,1,5.0,104.2
75,61,1,3.36,7,149.79,1.33,1.81,3.31,3.32,1,1,2,1.1,225.0,5.0,0.8,2,1,10.0,98.5
76,61,1,3.36,7,149.79,1.33,1.81,3.31,3.32,1,1,2,1.1,225.0,5.0,0.8,2,1,20.0,98.3
77,70,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,0.5,296.9
78,70,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,1.0,221.9
79,70,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,2.5,164.7
80,70,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,1,3,5.0,115.7
81,77,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,3,13.9,50.0,4.13,1.0,0,3,1.0,394.9
82,77,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,3,13.9,50.0,4.13,1.0,0,3,2.0,110.1
83,77,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,3,13.9,50.0,4.13,1.0,0,3,3.0,67.6
84,77,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,3,13.9,50.0,4.13,1.0,0,3,4.0,27.2
85,82,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,0.8,0,1,1.0,763.8
86,82,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,0.8,0,1,1.5,599.4
87,82,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,0.8,0,1,2.0,410.4
88,82,1,3.36,14,271.5,1.33,1.76,3.31,3.0,0,0,1,144.0,97.5,5.2,0.8,0,1,3.0,302.0
89,85,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,1.1,2,1,1.0,373.4
90,85,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,1.1,2,1,1.5,266.3
91,85,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,1.1,2,1,2.0,131.0
92,85,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,1.1,2,1,2.5,103.5
93,86,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,3,1,0.5,298.1
94,86,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,3,1,1.0,294.1
95,86,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,3,1,2.0,260.4
96,86,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,3,1,4.0,210.5
97,87,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,0.5,255.6
98,87,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,1.0,215.28
99,87,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,2.0,188.8
100,87,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,4.0,153.93
101,88,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,0.5,355.6
102,88,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,1.0,315.0
103,88,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,2.0,310.4
104,88,2,4.57,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.5,4,1,4.0,275.2
105,90,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,0.5,163.9
106,90,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,1.0,118.4
107,90,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,2.0,93.5
108,90,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,4.0,65.9
109,100,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,2,3,13.9,50.0,4.13,1.0,1,1,0.5,173.9
110,100,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,2,3,13.9,50.0,4.13,1.0,1,1,1.0,142.0
111,100,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,2,3,13.9,50.0,4.13,1.0,1,1,2.0,101.7
112,100,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,2,3,13.9,50.0,4.13,1.0,1,1,5.0,62.2
113,106,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,1.0,3,1,1.0,117.1
114,106,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,1.0,3,1,2.0,109.9
115,106,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,1.0,3,1,4.0,100.63
116,106,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,1.0,3,1,5.0,65.33
117,112,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,1,1,1.0,148.1
118,112,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,1,1,2.0,97.9
119,112,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,1,1,5.0,90.0
120,112,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,1,1,10.0,82.5
121,127,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,2,1,1.0,377.13
122,127,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,2,1,2.5,334.9
123,127,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,2,1,5.0,326.9
124,127,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,2,1,144.0,97.5,5.2,1.0,2,1,10.0,287.4
125,138,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,3,1,1.0,419.13
126,138,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,3,1,2.0,354.8
127,138,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,3,1,3.0,333.94
128,138,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,3,1,5.0,305.0
129,139,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,1.0,706.7
130,139,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,2.0,587.75
131,139,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,3.0,536.3
132,139,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,5.0,581.6
133,140,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,1.0,565.3
134,140,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,2.0,517.0
135,140,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,3.0,478.5
136,140,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,5.0,422.0
137,141,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,1.0,565.3
138,141,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,2.0,473.7
139,141,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,3.0,436.7
140,141,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,1.0,4,1,5.0,394.7
141,142,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,0.7,1,4,1.0,101.0
142,142,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,0.7,1,4,2.0,82.4
143,142,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,0.7,1,4,3.0,72.3
144,142,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,2,1,144.0,97.5,5.2,0.7,1,4,4.0,66.2
145,145,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,1.7,1,1,1.0,227.0
146,150,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.1,1,1,1.0,453.0
147,159,1,3.36,7,114.97,0.6,1.81,3.82,3.32,1,2,2,1.1,225.0,5.0,1.0,3,1,1.0,201.8
148,159,1,3.36,7,114.97,0.6,1.81,3.82,3.32,1,2,2,1.1,225.0,5.0,1.0,3,1,2.0,157.6
149,159,1,3.36,7,114.97,0.6,1.81,3.82,3.32,1,2,2,1.1,225.0,5.0,1.0,3,1,5.0,115.0
150,159,1,3.36,7,114.97,0.6,1.81,3.82,3.32,1,2,2,1.1,225.0,5.0,1.0,3,1,10.0,82.5
151,161,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,1.0,118.9
152,161,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,2.0,93.4
153,161,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,3.0,77.8
154,161,2,4.57,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,4.0,64.8
155,162,2,4.57,7,237.2,0.6,2.9,3.82,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,1.0,73.8
156,162,2,4.57,7,237.2,0.6,2.9,3.82,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,2.0,66.5
157,162,2,4.57,7,237.2,0.6,2.9,3.82,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,3.0,60.3
158,162,2,4.57,7,237.2,0.6,2.9,3.82,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,4.0,54.9
159,163,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,1.0,58.1
160,163,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,2.0,45.4
161,163,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,3.0,48.7
162,163,2,4.57,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.8,3,1,4.0,41.8
163,164,2,4.57,7,121.5,0.95,2.64,3.58,3.35,1,1,1,144.0,97.5,5.2,0.8,3,1,1.0,31.9
164,164,2,4.57,7,121.5,0.95,2.64,3.58,3.35,1,1,1,144.0,97.5,5.2,0.8,3,1,2.0,22.1
165,164,2,4.57,7,121.5,0.95,2.64,3.58,3.35,1,1,1,144.0,97.5,5.2,0.8,3,1,3.0,15.2
166,164,2,4.57,7,121.5,0.95,2.64,3.58,3.35,1,1,1,144.0,97.5,5.2,0.8,3,1,4.0,11.6
167,165,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.9,2,1,1.0,235.0
168,165,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.9,2,1,2.0,165.0
169,165,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.9,2,1,3.0,124.0
170,165,1,3.36,14,271.5,1.33,1.76,3.31,3.0,1,1,1,144.0,97.5,5.2,0.9,2,1,4.0,105.0
171,166,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.9,2,1,1.0,216.0
172,166,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.9,2,1,2.0,162.0
173,166,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.9,2,1,3.0,112.0
174,166,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,1,1,144.0,97.5,5.2,0.9,2,1,4.0,100.0
175,167,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,1,1,1.0,140.0
176,168,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,1.0,276.0
177,169,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,1,1.0,308.0
178,170,2,4.57,7,258.16,0.95,2.9,3.58,3.79,0,0,1,144.0,97.5,5.2,2.0,1,1,2.0,615.8
179,170,2,4.57,7,258.16,0.95,2.9,3.58,3.79,0,0,1,144.0,97.5,5.2,2.0,1,1,3.0,508.6
180,170,2,4.57,7,258.16,0.95,2.9,3.58,3.79,0,0,1,144.0,97.5,5.2,2.0,1,1,5.0,435.0
181,170,2,4.57,7,258.16,0.95,2.9,3.58,3.79,0,0,1,144.0,97.5,5.2,2.0,1,1,7.0,381.4
182,171,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,3,1.0,368.0
183,171,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,3,2.0,329.0
184,171,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,3,5.0,288.0
185,171,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.2,3,3,10.0,250.0
